State,Average Income,Year,,,,,,,,,,,,
District of Columbia,50337.275,2015,,,,,,,,,,,,
Florida,919834.875,2015,,,,,,,,,,,,
Georgia,427437.425,2015,,,,,,,,,,,,
Hawaii,69109.05,2015,,,,,,,,,,,,
Idaho,65475.65,2015,,,,,,,,,,,,
Illinois,666943.675,2015,,,,,,,,,,,,
Indiana,282821.35,2015,,,,,,,,,,,,
Iowa,144587.65,2015,,,,,,,,,,,,
Kansas,138336.75,2015,,,,,,,,,,,,
Kentucky,174331.2,2015,,,,,,,,,,,,
Louisiana,201363.475,2015,,,,,,,,,,,,
Maine,58331.3,2015,,,,,,,,,,,,
Maryland,337702.775,2015,,,,,,,,,,,,
Massachusetts,428228.925,2015,,,,,,,,,,,,
Michigan,433688.6,2015,,,,,,,,,,,,
Minnesota,286422.925,2015,,,,,,,,,,,,
Mississippi,106064,2015,,,,,,,,,,,,
Missouri,263271.425,2015,,,,,,,,,,,,
Montana,45453.525,2015,,,,,,,,,,,,
Nebraska,96282.15,2015,,,,,,,,,,,,
Nevada,127116.975,2015,,,,,,,,,,,,
New Hampshire,73474.55,2015,,,,,,,,,,,,
New Jersey,537105.875,2015,,,,,,,,,,,,
New Mexico,79864.3,2015,,,,,,,,,,,,
New York,1154722.85,2015,,,,,,,,,,,,
North Carolina,419334.275,2015,,,,,,,,,,,,
North Dakota,41178.925,2015,,,,,,,,,,,,
Ohio,518826.75,2015,,,,,,,,,,,,
Oklahoma,175133.975,2015,,,,,,,,,,,,
Oregon,179600.2,2015,,,,,,,,,,,,
Pennsylvania,643988.075,2015,,,,,,,,,,,,
Rhode Island,52447.575,2015,,,,,,,,,,,,
South Carolina,194364.1,2015,,,,,,,,,,,,
South Dakota,41912.65,2015,,,,,,,,,,,,
Tennessee,281281.125,2015,,,,,,,,,,,,
Texas,1300510.1,2015,,,,,,,,,,,,
Utah,121339.175,2015,,,,,,,,,,,,
Vermont,31079,2015,,,,,,,,,,,,
Virginia,438272.75,2015,,,,,,,,,,,,
Washington,381158.075,2015,,,,,,,,,,,,
West Virginia,69178.575,2015,,,,,,,,,,,,
Wisconsin,269703.875,2015,,,,,,,,,,,,
Wyoming,33761.75,2015,,,,,,,,,,,,
Alabama,192363.45,2016,,,,,,,,,,,,
Alaska,41837.4,2016,,,,,,,,,,,,
Arizona,282085.15,2016,,,,,,,,,,,,
Arkansas,121825.925,2016,,,,,,,,,,,,
California,2218457.775,2016,,,,,,,,,,,,
Colorado,289672.95,2016,,,,,,,,,,,,
Connecticut,247777.375,2016,,,,,,,,,,,,
Delaware,46444.8,2016,,,,,,,,,,,,
District of Columbia,52684.45,2016,,,,,,,,,,,,
Florida,954069.7,2016,,,,,,,,,,,,
Georgia,444023.675,2016,,,,,,,,,,,,
Hawaii,71571.65,2016,,,,,,,,,,,,
Idaho,68009.35,2016,,,,,,,,,,,,
Illinois,673690.975,2016,,,,,,,,,,,,
Indiana,290604.375,2016,,,,,,,,,,,,
Iowa,145790.025,2016,,,,,,,,,,,,
Kansas,138533.875,2016,,,,,,,,,,,,
Kentucky,177190.625,2016,,,,,,,,,,,,
Louisiana,200190.625,2016,,,,,,,,,,,,
Maine,59959.25,2016,,,,,,,,,,,,
Maryland,350384.375,2016,,,,,,,,,,,,
Massachusetts,444184.125,2016,,,,,,,,,,,,
Michigan,446030.225,2016,,,,,,,,,,,,
Minnesota,292234.9,2016,,,,,,,,,,,,
Mississippi,107499.45,2016,,,,,,,,,,,,
Missouri,270603.55,2016,,,,,,,,,,,,
Montana,46074.15,2016,,,,,,,,,,,,
Nebraska,94838.025,2016,,,,,,,,,,,,
Nevada,132058.35,2016,,,,,,,,,,,,
